Order ID,Date,Customer ID,Product,Category,Quantity,Price,Region,Sales,Profit
ORD1000,2/21/2023,CUST93,Table,Furniture,3,350.48,East,1051.44,142.45
ORD1001,12/5/2023,CUST12,Headphones,Clothing,2,247,South,494,139.37
ORD1002,12/10/2023,CUST39,Laptop,Electronics,4,547.44,East,2189.76,261.89
ORD1003,12/14/2023,CUST6,Television,Electronics,1,301.74,South,301.74,46.45
ORD1004,8/28/2023,CUST99,Headphones,Clothing,1,248.26,West,248.26,43.11
ORD1005,2/1/2023,CUST41,Mobile,Furniture,4,665.66,East,2662.64,601.42
ORD1006,5/1/2023,CUST62,Headphones,Furniture,2,594.69,West,1189.38,211.32
ORD1007,1/15/2023,CUST44,Chair,Furniture,1,757.71,West,757.71,70.18
ORD1008,1/28/2023,CUST3,Chair,Furniture,3,713.75,East,2141.25,254.78
ORD1009,9/26/2023,CUST63,Table,Clothing,5,917.24,East,4586.2,597.42
ORD1010,6/14/2023,CUST21,Television,Electronics,5,170.04,North,850.2,160.54
ORD1011,12/7/2023,CUST44,Bag,Furniture,2,428.08,South,856.16,56.22
ORD1012,6/1/2023,CUST58,Headphones,Electronics,1,508.08,North,508.08,131.93
ORD1013,6/5/2023,CUST23,Bag,Furniture,5,750.35,East,3751.75,958.59
ORD1014,9/17/2023,CUST5,Mobile,Clothing,5,218.24,East,1091.2,245.11
ORD1015,11/7/2023,CUST71,Mobile,Electronics,1,181.71,South,181.71,21.55
ORD1016,12/19/2023,CUST45,Shoes,Electronics,2,558.29,North,1116.58,194.35
ORD1017,11/7/2023,CUST33,Headphones,Furniture,5,815.93,West,4079.65,816.29
ORD1018,10/12/2023,CUST8,Laptop,Electronics,3,141.98,West,425.94,105.8
ORD1019,6/19/2023,CUST66,Chair,Clothing,4,720.41,West,2881.64,285.08
ORD1020,8/28/2023,CUST45,Shoes,Clothing,3,963.48,West,2890.44,173.89
ORD1021,11/24/2023,CUST13,Table,Electronics,1,609.33,South,609.33,62.96
ORD1022,5/2/2023,CUST1,Chair,Clothing,2,975.59,West,1951.18,154.1
ORD1023,12/28/2023,CUST49,Laptop,Clothing,1,923.75,South,923.75,248.85
ORD1024,5/28/2023,CUST38,Mobile,Furniture,1,472.61,East,472.61,63.4
ORD1025,7/1/2023,CUST47,Chair,Electronics,2,308.58,South,617.16,64.05
ORD1026,3/26/2023,CUST4,Mobile,Clothing,5,98.36,South,491.8,61.28
ORD1027,9/27/2023,CUST73,Table,Furniture,3,515.84,East,1547.52,223.64
ORD1028,11/9/2023,CUST2,Television,Furniture,5,798.49,East,3992.45,897.62
ORD1029,10/26/2023,CUST55,Bag,Furniture,4,869.81,South,3479.24,648.03
ORD1030,7/9/2023,CUST97,Headphones,Furniture,3,988.07,East,2964.21,839.91
ORD1031,5/30/2023,CUST96,Mobile,Clothing,5,737.99,West,3689.95,804.99
ORD1032,1/3/2023,CUST31,Mobile,Furniture,1,657.93,North,657.93,141.36
ORD1033,8/29/2023,CUST46,Shoes,Electronics,5,501.16,West,2505.8,414.76
ORD1034,4/9/2023,CUST20,Shoes,Electronics,3,577.27,West,1731.81,342.94
ORD1035,6/6/2023,CUST68,Table,Electronics,2,707.6,West,1415.2,199.05
ORD1036,1/13/2023,CUST37,Television,Electronics,3,454.11,East,1362.33,282.64
ORD1037,8/4/2023,CUST49,Chair,Furniture,4,816.55,West,3266.2,512.44
ORD1038,7/23/2023,CUST53,Shoes,Clothing,3,635.22,North,1905.66,559.42
ORD1039,9/10/2023,CUST30,Table,Furniture,4,982.83,South,3931.32,937.87
ORD1040,3/29/2023,CUST8,Bag,Furniture,5,780.2,West,3901,682.97
ORD1041,12/9/2023,CUST68,Mobile,Electronics,1,134.49,South,134.49,21.23
ORD1042,11/5/2023,CUST87,Television,Clothing,4,952.55,North,3810.2,710.3
ORD1043,8/18/2023,CUST33,Mobile,Clothing,5,474.77,West,2373.85,140.94
ORD1044,9/1/2023,CUST65,Mobile,Electronics,3,142.14,West,426.42,125.13
ORD1045,3/10/2023,CUST34,Chair,Electronics,4,326.69,South,1306.76,278.44
ORD1046,7/10/2023,CUST83,Television,Electronics,5,109.59,East,547.95,78.55
ORD1047,6/8/2023,CUST11,Television,Furniture,2,447.96,South,895.92,103.36
ORD1048,5/4/2023,CUST86,Chair,Clothing,3,293.11,East,879.33,61.59
ORD1049,5/19/2023,CUST96,Chair,Electronics,2,640.46,East,1280.92,241.28
ORD1050,6/26/2023,CUST8,Shoes,Furniture,4,807.38,North,3229.52,884.63
ORD1051,3/15/2023,CUST23,Chair,Electronics,4,573.84,West,2295.36,533.75
ORD1052,7/4/2023,CUST10,Bag,Clothing,3,713.24,East,2139.72,625.76
ORD1053,2/2/2023,CUST65,Shoes,Electronics,1,189.1,East,189.1,20.22
ORD1054,8/29/2023,CUST88,Bag,Electronics,2,202.76,East,405.52,56.41
ORD1055,3/2/2023,CUST33,Mobile,Clothing,4,402.48,South,1609.92,396.37
ORD1056,5/13/2023,CUST78,Mobile,Clothing,4,955.54,West,3822.16,203.43
ORD1057,4/28/2023,CUST76,Bag,Clothing,2,982.37,North,1964.74,407.29
ORD1058,6/28/2023,CUST73,Shoes,Furniture,4,776.2,West,3104.8,550.45
ORD1059,2/26/2023,CUST29,Table,Electronics,1,533.94,South,533.94,70.24
ORD1060,4/20/2023,CUST68,Shoes,Electronics,4,169.44,North,677.76,87.89
ORD1061,2/25/2023,CUST99,Shoes,Clothing,3,770.49,East,2311.47,303.8
ORD1062,3/30/2023,CUST64,Chair,Furniture,5,907.91,South,4539.55,267.49
ORD1063,8/16/2023,CUST54,Bag,Electronics,2,216.53,East,433.06,65.67
ORD1064,12/22/2023,CUST84,Table,Electronics,1,373.86,North,373.86,52.46
ORD1065,1/3/2023,CUST66,Chair,Furniture,3,509.81,North,1529.43,142.91
ORD1066,7/7/2023,CUST69,Mobile,Clothing,5,243.51,North,1217.55,157.01
ORD1067,5/6/2023,CUST16,Laptop,Electronics,3,832.9,South,2498.7,291.84
ORD1068,2/7/2023,CUST28,Laptop,Electronics,3,419.91,East,1259.73,375.89
